PlayerID,PlayerName,WR_ID
1380,Vladimir Kudryavcev,658991
1381,Вадим Фишман,240999
1382,Elina Yurchenko,655443
1383,Dmitriy Vityugov,
1384,Lanita Gutieva,654706
1385,Rybushkina Daria,
1386,Дмитрий Журавлев,
1392,Stanislav Lutay,240194
1393,Gavrilov Aleksei,
1396,Maksim Stolpasov,660241
1397,Daria Zemlyanaya,
1398,Razumakhin Mikhail,
1401,Subbotin Alexey,
1403,Denys Opara,656340
1405,Valeriy Matantsev,659674
1406,Artem Matantsev,659909
1411,Oleg Bondarenko,660273
1413,Øyvind Hansen,220114
1414,Dahle Stian,
1415,Are Konglevoll,660204
1416,Konglevoll Runar,
1417,Eliassen Fredrik,
1418,Aase Lars Eirik,
1419,Andreas Zarman,
1420,Morten Aarflot,220671
1421,Gasevik Sindre,
1422,Steine Asmund,
1423,Per E. Weckhorst,650859
1424,Vestbo Endre,
1425,Henning Tvedten,658000
1426,Kent Are Solli,650860
1427,Roren Paul Ivar,
1428,Hatlebrekke Martin,
1429,Per Ivar Lønne,
1430,Torkildsen Fredrik,
1431,Humberset Svein Olav,
1432,Svein Arne Fure,
1433,Vegard Flatøy,654237
1434,Hans Christian Lønne,657858
1435,Eidsnes Espen,
1436,Morten Johannessen,220149
1437,Overas Benjamin,
1438,Brunvoll Mari Kvien,
1439,Morten Mikal Brekken,659628
1440,Mykola Krokhmal,310039
1441,Вячеслав Петрухин,
1442,Eivind Stolen,
1443,Максим Разинков,
1445,Sigrid Kverneland,
1446,Tatiana Orlova,
1447,Borys Chekhachev,
1448,Станислав Дроженко,
1449,Вадим Дроженко,
1450,Денис Звягинцев,
1452,Roman Ignatenko,656195
1453,Ilya Ignatenko,
1454,Sergiy Krasyuk,658423
1455,Mironenko Roman,654095
1457,Kjell Reidar Stokdal,
1458,Kharlamov Alexey,660287
1460,Tsygankov Alexander,660304
1461,Robin Westergren Robin,
1462,Sergey Kudinov,658977
1463,Sergey Pugachev,240271
1464,Alexey Krinov,657778
1466,Tsygankov Ivan,
1467,Vladislav Plotnikov,
1468,Alex Bjorn,656473
1470,Georgiy Pavlov,
1471,Arseniy Stolyarov,240340
1474,Dmitriy Afonin,
1475,Denis Matveev,656846
1476,Gilje Anders,
1477,Rønningen Stina,
1478,Maxim Starkov,655565
1479,Aleksandr Dvinyaninov,659565
1480,Semyon Kurbatov,658923
1481,Artem Boldyrev,655901
1482,Timofey Kryazhev,
1483,Anton Umanskyy,654245
1484,Dmytro Marmaliuk,659672
1485,Alexandr Gorlin,660819
1486,Sergey Fiel,656246
1487,Lidija Kozak,660820
1488,Sergey Ivanov,
1490,Oleg Bublikov,656047
1492,Lopata Vladimir,
1494,Pavel Kiselyov,658363
1496,Valeriy Parfenov,658421
1498,Ilya Belozercev,
1500,Gilje Arne,
1501,Henrik Due,
1502,Rønningen Ola,
1503,Skog Nickolay,
1504,Filippov Sergey,
1505,Kevin Eriksson,654721
1507,Øystein Klippen,660637
1508,Dan Stenberg,
